Date,Open,High,Low,Close,Volume
23/10/2015 10:30,23147,23163,23128,23163,33
23/10/2015 10:15,23148,23169,23144,23158,14
23/10/2015 10:00,23165,23185,23148,23158,38
23/10/2015 9:45,23114,23160,23088,23148,65
23/10/2015 9:30,23205,23205,23149,23149,46
23/10/2015 9:15,23274,23274,23210,23220,53
23/10/2015 9:00,23280,23280,23280,23280,19
22/10/2015 16:00,22845,22868,22839,22839,13
22/10/2015 15:45,22831,22837,22822,22834,14
22/10/2015 15:30,22829,22836,22829,22834,6
22/10/2015 15:15,22834,22838,22818,22818,5
22/10/2015 15:00,22809,22815,22807,22814,7
22/10/2015 14:45,22812,22812,22812,22812,1
22/10/2015 14:30,22840,22853,22840,22853,3
22/10/2015 14:15,22806,22841,22806,22841,5
22/10/2015 14:00,22800,22810,22800,22800,6
22/10/2015 13:45,22766,22790,22754,22790,16
22/10/2015 13:30,22780,22780,22760,22767,6
22/10/2015 13:15,22750,22772,22750,22760,3
22/10/2015 13:00,22761,22761,22743,22743,6
22/10/2015 11:45,22795,22795,22795,22795,1
22/10/2015 11:30,22798,22798,22781,22796,12
22/10/2015 11:15,22804,22805,22793,22793,11
22/10/2015 11:00,22831,22834,22831,22834,2
22/10/2015 10:45,22840,22855,22840,22847,14
22/10/2015 10:30,22823,22830,22815,22830,3
22/10/2015 10:15,22810,22822,22801,22816,22
22/10/2015 10:00,22793,22800,22774,22774,8
22/10/2015 9:45,22780,22793,22748,22767,29
22/10/2015 9:30,22732,22803,22710,22789,27
22/10/2015 9:15,22751,22780,22726,22726,53
20/10/2015 16:00,22942,22955,22918,22918,6
20/10/2015 15:45,22927,22941,22927,22941,5
20/10/2015 15:30,22899,22930,22899,22930,2
20/10/2015 15:15,22877,22920,22877,22910,9
20/10/2015 15:00,22891,22907,22891,22892,11
20/10/2015 14:45,22850,22895,22848,22872,16
20/10/2015 14:30,22800,22839,22800,22839,5
20/10/2015 14:15,22830,22830,22802,22828,15
20/10/2015 14:00,22895,22906,22780,22853,28
20/10/2015 13:45,22918,22918,22880,22883,6
20/10/2015 13:30,22861,22913,22855,22913,10
20/10/2015 13:15,22886,22886,22848,22861,16
20/10/2015 13:00,22910,22910,22875,22875,4
20/10/2015 11:45,22932,22932,22932,22932,1
20/10/2015 11:30,22950,22950,22950,22950,1
20/10/2015 11:15,22923,22923,22923,22923,1
20/10/2015 11:00,22905,22925,22905,22925,3
20/10/2015 10:45,22915,22915,22915,22915,1
20/10/2015 10:30,22918,22918,22912,22912,2
20/10/2015 10:15,22895,22920,22875,22901,10
20/10/2015 10:00,22938,22940,22887,22905,27
20/10/2015 9:45,22991,22991,22950,22955,4
20/10/2015 9:30,22942,23013,22926,22991,57
20/10/2015 9:15,22970,22970,22923,22929,54
20/10/2015 9:00,22990,22990,22990,22990,10
19/10/2015 16:00,23025,23033,23025,23033,2
19/10/2015 15:45,23021,23021,23021,23021,2
19/10/2015 15:30,23030,23080,23030,23030,10
19/10/2015 15:15,23010,23020,23010,23020,3
19/10/2015 15:00,22981,23005,22976,22990,5
19/10/2015 14:45,22950,22978,22950,22978,8
19/10/2015 14:30,22893,22920,22892,22920,3
19/10/2015 14:15,22899,22932,22870,22909,22
19/10/2015 14:00,22918,22918,22880,22892,9
19/10/2015 13:45,22917,22938,22906,22906,6
19/10/2015 13:30,22904,22923,22904,22923,3
19/10/2015 13:15,22953,22953,22880,22915,16
19/10/2015 13:00,22961,22961,22961,22961,1
19/10/2015 11:45,22980,22987,22980,22987,3
19/10/2015 11:30,23011,23019,22975,22981,7
19/10/2015 11:15,23006,23017,22997,23008,12
19/10/2015 11:00,23025,23033,23017,23017,5
19/10/2015 10:45,22974,23006,22974,23006,6
19/10/2015 10:30,22950,22950,22923,22930,11
19/10/2015 10:15,23031,23031,22986,22988,17
19/10/2015 10:00,22995,23019,22995,23006,14
19/10/2015 9:45,22912,22925,22900,22925,5
19/10/2015 9:30,22959,22980,22937,22950,14
19/10/2015 9:15,23030,23030,22948,22948,21
19/10/2015 9:00,23040,23040,23040,23040,1
16/10/2015 16:00,23035,23112,23035,23092,12
16/10/2015 15:45,23032,23040,23032,23040,2
16/10/2015 15:30,23060,23060,23021,23032,12
16/10/2015 15:15,23028,23035,23028,23030,4
16/10/2015 15:00,22999,23022,22999,23016,9
16/10/2015 14:45,22965,22970,22965,22970,10
16/10/2015 14:30,22975,22975,22975,22975,2
16/10/2015 14:15,22982,22982,22965,22975,5
16/10/2015 14:00,22980,22990,22980,22990,8
16/10/2015 13:30,22967,22977,22950,22950,7
16/10/2015 13:15,22990,22991,22990,22991,3
16/10/2015 13:00,23000,23008,22994,22994,7
16/10/2015 11:45,22950,22990,22950,22990,7
16/10/2015 11:30,22963,22963,22963,22963,1
16/10/2015 11:15,22955,22955,22929,22950,12
16/10/2015 11:00,22983,22983,22930,22945,10
16/10/2015 10:45,23032,23032,22981,22994,10
16/10/2015 10:30,23033,23033,23010,23010,3
16/10/2015 10:15,23040,23064,23040,23064,2
16/10/2015 10:00,23038,23075,23034,23075,10
16/10/2015 9:45,23079,23079,23031,23031,6
16/10/2015 9:30,23110,23110,23071,23071,8
16/10/2015 9:15,23084,23098,23054,23071,10
16/10/2015 9:00,23050,23050,23050,23050,1
15/10/2015 16:00,22856,22903,22856,22903,20
15/10/2015 15:45,22895,22895,22855,22855,123
15/10/2015 15:30,22844,22910,22839,22910,10
15/10/2015 15:15,22827,22830,22773,22830,12
15/10/2015 15:00,22872,22872,22828,22848,42
15/10/2015 14:30,22900,22900,22889,22889,10
15/10/2015 14:15,22855,22866,22855,22866,2
15/10/2015 14:00,22858,22880,22845,22845,4
15/10/2015 13:45,22875,22886,22860,22860,8
15/10/2015 13:30,22852,22852,22829,22829,14
15/10/2015 13:15,22858,22903,22850,22860,15
15/10/2015 13:00,22885,22885,22841,22870,9
15/10/2015 11:45,22916,22916,22895,22900,5
15/10/2015 11:30,22828,22880,22828,22880,11
15/10/2015 11:15,22751,22808,22740,22808,7
15/10/2015 11:00,22730,22768,22730,22751,7
15/10/2015 10:45,22693,22708,22684,22706,10
15/10/2015 10:30,22651,22707,22650,22707,7
15/10/2015 10:15,22645,22685,22644,22644,7
15/10/2015 10:00,22615,22630,22615,22630,3
15/10/2015 9:30,22572,22632,22550,22605,7
15/10/2015 9:15,22614,22660,22580,22600,16
14/10/2015 16:00,22404,22457,22401,22457,8
14/10/2015 15:45,22397,22397,22397,22397,1
14/10/2015 15:30,22330,22330,22330,22330,2
14/10/2015 15:00,22388,22388,22372,22372,2
14/10/2015 14:00,22405,22457,22405,22457,3
14/10/2015 13:45,22418,22418,22418,22418,1
14/10/2015 13:15,22393,22393,22393,22393,1
14/10/2015 11:15,22435,22457,22435,22452,5
14/10/2015 11:00,22509,22543,22471,22476,7
14/10/2015 10:45,22432,22501,22432,22479,12
14/10/2015 10:30,22408,22434,22399,22434,4
14/10/2015 10:15,22380,22380,22366,22366,2
14/10/2015 10:00,22353,22383,22347,22382,10
14/10/2015 9:45,22410,22410,22347,22354,5
14/10/2015 9:30,22425,22473,22420,22473,5
14/10/2015 9:15,22333,22381,22308,22378,13
13/10/2015 16:00,22520,22530,22512,22512,3
13/10/2015 15:45,22525,22534,22516,22534,6
13/10/2015 15:30,22490,22516,22490,22500,3
13/10/2015 15:15,22501,22501,22491,22491,4
13/10/2015 15:00,22561,22561,22561,22561,1
13/10/2015 14:15,22601,22601,22601,22601,3
13/10/2015 14:00,22573,22573,22573,22573,1
13/10/2015 13:30,22602,22605,22602,22605,2
13/10/2015 13:15,22604,22610,22604,22610,2
13/10/2015 13:00,22601,22612,22573,22612,5
13/10/2015 11:45,22581,22587,22564,22564,4
13/10/2015 11:30,22580,22580,22540,22540,4
13/10/2015 11:15,22610,22623,22570,22570,8
13/10/2015 11:00,22530,22567,22525,22563,19
